## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4817e-01  -1.9211e+00   1.0307e+00   2.4753e-02   3.9234e+03   7.5710e+03
  2.4303e-01   2.6133e-01  -1.3546e+00   8.5648e-01   2.8976e-02   1.9574e+04   3.7748e+04
  4.3931e-01   4.6899e-01  -7.6995e-01   7.6700e-01   2.5223e-02   6.0022e+04   1.1572e+05
  7.9411e-01   8.4925e-01  -1.7551e-01   7.3443e-01   2.3612e-02   1.8699e+05   3.6051e+05
  1.4355e+00   1.5345e+00   4.1670e-01   7.1866e-01   2.3257e-02   5.9992e+05   1.1566e+06
  2.5948e+00   2.7698e+00   1.0075e+00   7.1465e-01   2.3933e-02   1.8499e+06   3.5665e+06
  4.6904e+00   4.9990e+00   1.5979e+00   7.1378e-01   2.4347e-02   5.3761e+06   1.0365e+07
  8.4785e+00   9.0724e+00   2.1938e+00   7.1528e-01   2.4212e-02   1.5473e+07   2.9831e+07
  1.5326e+01   1.6423e+01   2.7870e+00   7.1629e-01   2.4349e-02   4.7944e+07   9.2433e+07
  2.7704e+01   2.9686e+01   3.3788e+00   7.1629e-01   2.4212e-02   1.4893e+08   2.8713e+08
  5.0078e+01   5.3654e+01   3.9705e+00   7.1638e-01   2.4247e-02   4.6092e+08   8.8864e+08
  9.0523e+01   9.6972e+01   4.5622e+00   7.1602e-01   2.4432e-02   1.4237e+09   2.7449e+09
  1.6363e+02   1.7534e+02   5.1544e+00   7.1747e-01   2.4190e-02   4.3908e+09   8.4653e+09
